,Budget,Profit
1182,7000000,-6617054
1183,20000000,-6616263
1184,20000000,-6608826
1185,7000000,-6546921
1186,75000000,-6526640
1187,40000000,-6491078
1188,7000000,-6470234
1189,7000000,-6467012
1190,12000000,-6457975
1191,13500000,-6439124
1192,6500000,-6433363
1193,6500000,-6429473
1194,10000000,-6428265
1195,6500000,-6389971
1196,13000000,-6384422
1197,20000000,-6369774
1198,9200000,-6364114
1199,8000000,-6358212
1200,20000000,-6349262
1201,35000000,-6312165
1202,15000000,-6264471
1203,95000000,-6238280
1204,60000000,-6210687
1205,8000000,-6210108
1206,20000000,-6198245
1207,11000000,-6185756
1208,20000000,-6146000
1209,25000000,-6139597
1210,40000000,-6135658
1211,7200000,-6105202
1212,6200000,-6073753
1213,40000000,-6072524
1214,12000000,-6050307
1215,9000000,-6044961
1216,20000000,-6012518
1217,35000000,-6004550
1218,8000000,-6002193
1219,6000000,-5987157
1220,6000000,-5973565
1221,43000000,-5964485
1222,6000000,-5963503
1223,7000000,-5959121
1224,30000000,-5952000
1225,6000000,-5945394
1226,15000000,-5940412
1227,6000000,-5884138
1228,6000000,-5882440
1229,15000000,-5876166
1230,6500000,-5813617
1231,9000000,-5806898
1232,10000000,-5755845
1233,64000000,-5744713
1234,8000000,-5724443
1235,10000000,-5719423
1236,20000000,-5708430
1237,57000000,-5682650
1238,7000000,-5669173
1239,6000000,-5628919
1240,15000000,-5603513
1241,6000000,-5600389
1242,5600000,-5572976
1243,50000000,-5515935
1244,27000000,-5500000
1245,25530000,-5482285
1246,7300000,-5481319
1247,5500000,-5477230
1248,6500000,-5470983
1249,5500000,-5443993
1250,65000000,-5382932
1251,17000000,-5365542
1252,7000000,-5345633
1253,50000000,-5262941
1254,7000000,-5261308
1255,19000000,-5246069
1256,12000000,-5245102
1257,7000000,-5231584
1258,57000000,-5225998
1259,6000000,-5204874
1260,26000000,-5180871
1261,10818775,-5149694
1262,6000000,-5130675
1263,13000000,-5118665
1264,7000000,-5110478
1265,49000000,-5094254
1266,60000000,-5089440
1267,15000000,-5071000
1268,55000000,-5005196
1269,12000000,-4998280
1270,10000000,-4995352
1271,70000000,-4988000
1272,8000000,-4985459
